Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type,actual_label,predicted_label,predicted_proba
-0.008559487,0.043614604,0.36593166,0.08280941,0.01983158,0.0012360953,-0.49181247,0.007920657,-0.06928838,0.007262695,0.13355304,0.15977943,-0.023574565,-0.029989816,0.0,0.0,0.0,0.042040292,0.023357125,0.055957798,0.0,-0.022060884,0.44652528,-0.0524415,-0.4603476,0.0,-0.12220251,0.2557565,0.0,-0.041250266,0.0,0.0,0.0,0.0,-0.072539136,-0.075135626,-0.015356284,-0.047282837,-0.00547133,-0.015425546,0.0,0.0,0.0,-0.022960909,-0.008697225,-1.1046938,-5.724498,0,0,0.0024784743
0.0027027791,0.066973634,0.67576224,0.09277974,0.030568264,0.003771782,-0.051148042,0.009633696,-0.009173795,-0.012939183,0.14120543,0.25387582,-0.0030861387,0.07353627,0.0,0.0,0.0,0.11013086,0.01887475,0.036612246,0.0,0.049166888,0.29179904,0.112116836,-0.15594485,0.0,-0.18848081,-0.07264326,0.0,-0.0195197,0.0,0.0,0.0,0.0,0.16921069,0.035833634,-0.01174649,-0.013832036,-0.005063041,-0.0064067915,0.0,0.0,0.0,-0.0071659246,-0.002020084,3.7100317,1.1602609,1,1,0.99929464
-0.01215221,0.092853315,-1.0504616,0.11101258,0.06206675,0.0068105203,-1.0440747,0.0038375251,0.20879726,-0.013141019,0.21943757,-0.18287896,-0.0517032,-0.0551012,0.0,0.0,0.0,0.12551984,0.02798148,0.13223705,0.0,0.008256729,-0.37113628,0.030511819,-0.0004938101,0.0,-0.32474124,-0.18736401,0.0,-0.087455556,0.0,0.0,0.0,0.0,0.17211688,0.0031242836,0.08535464,0.20642099,-0.00795034,-0.0064002387,0.0,0.0,0.0,-0.4604733,-0.0042082793,-0.15745945,0.20826401,0,0,0.17621407
0.0014017844,0.05822163,-2.4240727,-0.41110817,-0.2556518,0.0019605441,-0.30664036,0.0033793412,-0.16912578,-0.019195914,0.13979104,0.32720548,0.01297728,-0.011184015,0.0,0.0,0.0,-1.1062948,-0.14190589,-0.12519042,0.0,-0.06671849,-0.63378596,0.026331741,0.14075357,0.0,0.031089332,-0.34750482,0.0,-0.09818058,0.0,0.0,0.0,0.0,-0.07005059,-0.020442916,-0.030007502,0.19129375,-0.013848858,-0.059975427,0.0,0.0,0.0,-0.16182451,-0.012869352,-1.0567416,0.29816887,0,0,0.0039136373
-0.0104871085,0.017042456,0.3877488,0.014478642,0.020754557,0.00016909157,-0.4534539,0.0065362668,-0.15609306,-0.033623457,-0.56661814,0.19942383,-0.010607317,0.014996487,0.0,0.0,0.0,0.058231708,-0.04375296,-0.033847295,0.0,-0.013261578,0.44234174,-0.033295847,-0.43008122,0.0,-0.12770376,0.2398181,0.0,-0.037515145,0.0,0.0,0.0,0.0,-0.08542168,-0.03928935,-0.008264733,-0.0382841,-0.008126522,-0.025334023,0.0,0.0,0.0,-0.064177215,-0.009082349,-1.0848081,-5.4415774,0,0,0.0013820799
-0.015406663,0.0134144705,0.3861107,0.07655307,0.020138929,0.00011472608,-0.42745358,0.0065713692,-0.15728445,-0.038537666,-0.59101707,0.18599254,-0.0059727067,-0.005188795,0.0,0.0,0.0,0.058172297,-0.040593095,-0.04478047,0.0,-0.014794085,0.44536328,-0.033914715,-0.43827513,0.0,-0.11910279,0.23798162,0.0,-0.031006936,0.0,0.0,0.0,0.0,-0.086216435,-0.037111875,-0.006850022,-0.037956376,-0.005268427,-0.025334023,0.0,0.0,0.0,-0.06114744,-0.009082349,-1.0870897,-5.439663,0,0,0.0014163528
0.0027157303,0.15154357,0.718907,0.10313825,0.03737793,0.003771782,-0.13586266,0.014877253,-0.16221298,-0.036727156,0.077671334,0.25832194,-0.009153129,0.05979348,0.0,0.0,0.0,0.10471409,0.018355997,0.0070583546,0.0,0.029982459,0.076962195,0.14058293,-0.17729558,0.0,-0.2023089,-0.04891797,0.0,0.039302174,0.0,0.0,0.0,0.0,-0.0004788523,0.036874812,-0.021359127,-0.0004531832,-0.005634475,-0.006911041,0.0,0.0,0.0,-0.0055109346,0.002354329,4.024739,0.9075874,1,1,0.99885845
0.046449646,0.06455505,-0.059098702,0.087837465,0.022826053,0.0014472322,-0.5566621,0.0077352785,-0.09614352,0.04519311,0.15982439,0.12714341,-0.03327483,-0.035546176,0.0,0.0,0.0,0.05050687,0.021864247,0.058761835,0.0,-0.017461939,0.5171466,-0.052127622,-0.43773487,0.0,-0.11395523,0.25358948,0.0,-0.035445634,0.0,0.0,0.0,0.0,-0.072699234,-0.050137505,-0.014160018,-0.0476543,-0.0046552275,-0.013297515,0.0,0.0,0.0,-0.037258595,-0.0037565439,-1.0594244,-5.338897,0,0,0.0028884863
-0.024792213,-0.30562687,-1.2893466,-0.12675002,-0.12691808,0.013825395,-0.9014857,0.007303157,-0.08331243,-0.04883585,0.16493176,0.29371765,0.0023769804,0.082408965,0.0,0.0,0.0,-0.008981994,0.0027498761,0.027534846,0.0,-0.019934945,-0.35844815,0.06386217,-0.53168917,0.0,-0.7566922,-0.64560133,0.0,-0.09911118,0.0,0.0,0.0,0.0,-0.105620936,-0.018337505,-0.025662314,-0.019162547,-0.0070827533,-0.015091442,0.0,0.0,0.0,-0.1533612,-0.017025366,-1.7223699,0.36151206,0,0,0.0036092594
0.0010954895,0.08531326,0.8653514,-0.1533229,0.011343058,0.003304407,-0.8006853,0.006378659,-0.16048779,-0.019050526,0.09354297,-0.14508115,-0.09788014,-0.04876852,0.0,0.0,0.0,0.0917386,-0.0024940185,0.044349242,0.0,-0.005750542,-0.3575349,0.16583481,0.003915922,0.0,-0.6333611,-0.22404851,0.0,-0.17613012,0.0,0.0,0.0,0.0,0.2686502,0.0013361666,-0.029989028,0.008764767,-0.09156669,-0.08901358,0.0,0.0,0.0,-1.125274,-0.006435705,-0.16911131,0.62737405,0,0,0.21630816
